obs,cpd,Y_sum,bkg_type,c_base,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas,mean_c_phys_meas,median_c_phys_meas
o13,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.683644841,-0.686928805,0.039969133,0.051175099,11,0.207183497,0.205622765
o13,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.509499634,-0.510837545,0.091593182,0.114391398,9,0.309385792,0.308434148
o13,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.421018975,-0.440084208,0.07483854,0.120411998,12,0.379298412,0.363007662
o13,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.352796798,-0.342260748,0.077084506,0.072247199,8,0.443816253,0.45471497
o13,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.684520565,-0.662846405,0.052271075,0.084288399,10,0.206766147,0.217346973
o13,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.540940545,-0.534919945,0.033219554,0.072247199,10,0.287779236,0.291796484
o13,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.658029925,-0.638764005,0.055092053,0.048164799,10,0.219770844,0.229739671
o13,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.549369385,-0.522878745,0.069935775,0.096329599,10,0.282247832,0.3
o14,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.682112325,-0.674887605,0.06551121,0.108370798,10,0.207915887,0.211403608
o14,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.532511705,-0.510837545,0.074616586,0.036123599,10,0.293419042,0.308434148
o14,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.682112325,-0.692949404,0.077663405,0.072247199,10,0.207915887,0.202791896
o14,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.507225186,-0.510837545,0.097004552,0.144494398,10,0.31101033,0.308434148
o14,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.606252766,-0.602640406,0.135643996,0.144494398,10,0.247598058,0.24966611
o14,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.409691467,-0.402466747,0.08480288,0.108370798,10,0.38932163,0.395852373
o14,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.707398844,-0.692949404,0.101389477,0.144494398,10,0.196155801,0.202791896
o14,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.593921824,-0.619208344,0.114296297,0.144494398,10,0.254728874,0.240320963
o14,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.638764005,-0.620702205,0.086830327,0.144494398,10,0.229739671,0.239495741
o14,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.503612826,-0.474713946,0.111405504,0.144494398,10,0.31360803,0.335186141
o15,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.642777738,-0.638764005,0.066681145,0.063216299,15,0.227626207,0.229739671
o15,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.510837545,-0.510837545,0.065952368,0.096329599,5,0.308434148,0.308434148
o15,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.620702205,-0.632743405,0.085568802,0.120411998,10,0.239495741,0.232946717
o15,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.467489226,-0.474713946,0.090322377,0.132453198,10,0.340808779,0.335186141
o15,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.503902567,-0.542434407,0.087412808,0.162556198,5,0.313398875,0.28679105
o15,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.279646509,-0.245931149,0.096673021,0.120411998,15,0.525234798,0.567634588
o15,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.575274042,-0.566516806,0.079888785,0.063216299,11,0.265904666,0.271320865
o15,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.433238702,-0.462672746,0.106022595,0.216741597,9,0.368774852,0.344609506
o15,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.68157716,-0.674887605,0.086853516,0.096329599,9,0.208172252,0.211403608
o15,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.497701691,-0.474713946,0.077934483,0.105360498,11,0.317905696,0.335186141
o16,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.635151645,-0.620702205,0.095498178,0.036123599,10,0.231658561,0.239495741
o16,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.500000466,-0.474713946,0.093348426,0.108370798,10,0.316227427,0.335186141
o16,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.649601085,-0.674887605,0.083510734,0.108370798,10,0.224077843,0.211403608
o16,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.485551026,-0.510837545,0.059112358,0.072247199,10,0.326925634,0.308434148
o16,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.559292086,-0.548455007,0.104696138,0.108370798,10,0.275872184,0.282842712
